Date,Close
2023-01-11,100.69
2023-01-12,100.65
2023-01-13,101.11
2023-01-14,101.05
2023-01-15,101.06
2023-01-16,101.28
2023-01-17,101.34
2023-01-18,101.21
2023-01-19,100.75
2023-01-20,101.49
2023-01-23,101.91
2023-01-24,102.07
2023-01-25,101.76
2023-01-26,102.54
2023-01-27,103.11
2023-01-30,103.12
2023-01-31,103.19
2023-02-01,104.11
2023-02-02,104.82
2023-02-03,104.59
2023-02-06,104.40
2023-02-07,104.48
2023-02-08,104.48
2023-02-09,104.65
2023-02-10,103.58
2023-02-13,104.58
2023-02-14,104.66
2023-02-15,105.70
2023-02-16,106.42
2023-02-17,105.12
2023-02-20,104.99
2023-02-21,104.36
2023-02-22,103.87
2023-02-23,104.27
2023-02-24,103.34
2023-02-25,103.29
2023-02-26,103.28
2023-02-27,103.86
2023-02-28,103.84
2023-03-01,103.45
2023-03-02,103.24
2023-03-03,104.16
2023-03-06,104.15
2023-03-07,104.13
2023-03-08,103.97
2023-03-09,102.68
2023-03-10,102.55
2023-03-13,101.29
2023-03-14,101.94
2023-03-15,101.51
2023-03-16,102.24
2023-03-17,101.83
2023-03-20,102.01
2023-03-21,103.20
2023-03-22,103.14
2023-03-23,102.59
2023-03-24,101.78
2023-03-27,102.18
2023-03-28,101.84
2023-03-29,102.44
2023-03-30,103.08
2023-03-31,103.82
2023-04-02,103.79
2023-04-03,103.26
2023-04-04,103.49
2023-04-05,102.05
2023-04-06,102.26
2023-04-11,102.54
2023-04-12,102.58
2023-04-13,102.45
2023-04-14,102.69
2023-04-17,103.19
2023-04-18,103.29
2023-04-19,102.85
2023-04-20,102.48
2023-04-21,102.54
2023-04-23,102.39
2023-04-24,102.48
2023-04-25,102.22
2023-04-26,101.83
2023-04-27,101.93
2023-04-28,102.87
2023-05-02,102.36
2023-05-03,102.11
2023-05-04,102.24
2023-05-05,101.99
2023-05-08,102.68
2023-05-09,103.46
2023-05-10,103.49
2023-05-11,103.83
2023-05-12,103.74
2023-05-15,103.31
2023-05-16,103.31
2023-05-17,103.62
2023-05-18,104.52
2023-05-19,105.58
2023-05-21,105.43
2023-05-22,105.66
2023-05-23,105.94
2023-05-24,105.42
2023-05-25,105.84
2023-05-26,105.76
2023-05-27,106.66
2023-05-28,106.70
2023-05-29,106.88
2023-05-30,107.00
2023-05-31,106.73
2023-06-01,106.93
2023-06-02,107.93
2023-06-03,107.68
2023-06-04,107.67
2023-06-05,107.65
2023-06-06,108.51
2023-06-07,108.39
2023-06-08,107.92
2023-06-09,108.80
2023-06-10,108.39
2023-06-11,108.39
2023-06-12,108.65
2023-06-13,109.53
2023-06-14,109.34
2023-06-15,109.40
2023-06-16,109.52
2023-06-19,109.30
2023-06-20,108.89
2023-06-21,108.24
2023-06-22,107.92
2023-06-23,108.18
2023-06-25,107.99
2023-06-26,108.25
2023-06-27,107.47
2023-06-28,108.35
2023-06-29,108.97
2023-06-30,109.40
2023-07-02,109.68
2023-07-03,110.07
2023-07-04,110.05
2023-07-05,109.99
2023-07-06,109.18
2023-07-07,109.23
2023-07-09,109.23
2023-07-10,109.33
2023-07-11,109.49
2023-07-12,110.30
2023-07-13,110.42
2023-07-14,110.63
2023-07-15,110.56
2023-07-16,110.57
2023-07-17,110.73
2023-07-18,111.47
2023-07-19,112.41
2023-07-20,110.71
2023-07-21,110.68
2023-07-22,110.72
2023-07-23,110.72
2023-07-24,110.89
2023-07-25,111.16
2023-07-26,110.83
2023-07-27,111.59
2023-07-28,111.55
2023-07-29,112.61
2023-07-30,112.59
2023-07-31,113.05
2023-08-01,113.37
2023-08-02,111.73
2023-08-03,111.62
2023-08-04,112.11
2023-08-06,111.13
2023-08-07,111.56
2023-08-08,111.22
2023-08-09,110.84
2023-08-10,109.97
2023-08-11,109.75
2023-08-12,109.74
2023-08-13,109.74
2023-08-14,109.73
2023-08-15,109.80
2023-08-16,109.37
2023-08-17,108.23
2023-08-18,108.11
2023-08-19,108.15
2023-08-21,108.42
2023-08-22,108.83
2023-08-23,109.17
2023-08-24,110.19
2023-08-25,108.83
2023-08-26,109.20
2023-08-27,109.19
2023-08-28,109.31
2023-08-29,109.41
2023-08-30,110.23
2023-08-31,110.54
2023-09-01,110.80
2023-09-02,111.01
2023-09-03,111.01
2023-09-04,111.25
2023-09-05,111.04
2023-09-06,110.64
2023-09-07,110.55
2023-09-08,110.65
2023-09-09,110.73
2023-09-10,110.73
2023-09-11,111.02
2023-09-12,111.64
2023-09-13,111.21
2023-09-14,112.02
2023-09-15,111.40
2023-09-16,111.33
2023-09-17,111.33
2023-09-18,111.14
2023-09-19,111.02
2023-09-20,110.45
2023-09-21,109.86
2023-09-22,109.18
2023-09-23,108.69
2023-09-24,108.69
2023-09-25,109.04
